"file","block","has_frontmatter","title","id","type","status","date","owner","authority","review_cycle","parents","h2","lines"
"02.03 Regimento de Decisões Estrutur.md","02","True","02.03 Regimento de Decisões Estruturais","pavie-02-03-regimento-decisoes-estruturais","regimento_decisoes_estruturais","vigente","2026-03-07","Fabio Mathias Pavie","derivado_normativo","12 meses, com revisão extraordinária por alteração dos documentos superiores, incidente decisório, falha de registro, expansão estrutural ou mudança relevante de alçadas","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 02.00 Matriz de Papéis, Responsabilidades e Alçadas | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base constitucional e matricial de alinhamento | 4. Conceitos operacionais do Regimento","602"
"02.04 Política de Terceiros, Parceir.md","02","True","02.04 Política de Terceiros, Parceiros e Correspondentes","pavie-02-04-politica-terceiros-parceiros-correspondentes","politica_terceiros_parceiros_correspondentes","vigente","2026-03-07","Fabio Mathias Pavie","derivado_normativo","12 meses, com revisão extraordinária por incidente, falha de terceiro, mudança de fluxo, alteração dos documentos superiores ou contratação estrutural relevante","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 02.00 Matriz de Papéis, Responsabilidades e Alçadas | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base constitucional e matricial de alinhamento | 4. Conceitos operacionais da política","605"
"03.00 Arquitetura Operacional do Sis.md","03","True","03.00 Arquitetura Operacional do Sistema PAVIE","pavie-03-00-arquitetura-operacional-sistema","arquitetura_operacional_do_escritorio","vigente","2026-03-07","Fabio Mathias Pavie","superior_derivado","12 meses, com revisão extraordinária por mudança estrutural relevante, incidente operacional, alteração de stack, crescimento de capacidade, criação de nova esteira ou revisão do bloco 01","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Base de alinhamento superior | 4. Papel do 03.00 dentro da árvore de comando e execução","673"
"03.01 Manual de Taxonomia, IDs e YAM.md","03","True","03.01 Manual de Taxonomia, IDs e YAML","pavie-03-01-manual-taxonomia-ids-yaml","manual_taxonomia_ids_yaml","vigente","2026-03-07","Fabio Mathias Pavie","manual_derivado","12 meses, com revisão extraordinária por mudança de arquitetura, criação de nova classe documental, incidente de duplicidade, falha de recuperabilidade, migração de sistema ou ajuste material de portfólio","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.03 Mapa de Portfólio e Priorização | 03.00 Arquitetura Operacional do Sistema PAVIE","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Princípios estruturais permanentes | 4. Domínios oficiais do Sistema PAVIE","805"
"03.02 Mapa de Processos do Escritóri.md","03","True","03.02 Mapa de Processos do Escritório","pavie-03-02-mapa-processos-escritorio","mapa_de_processos_do_escritorio","vigente","2026-03-07","Fabio Mathias Pavie","manual_derivado","12 meses, com revisão extraordinária por mudança de arquitetura, criação de nova esteira, incidente operacional, alteração relevante de portfólio, crescimento de capacidade ou mudança de stack","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Princípios de desenho processual | 4. Visão geral da cadeia operacional","568"
"03.03 Biblioteca de SOPs, Checklists.md","03","True","03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais","pavie-03-03-biblioteca-sops-checklists-modelos","biblioteca_operacional","vigente","2026-03-07","Fabio Mathias Pavie","operacional_derivado","12 meses, com revisão extraordinária por criação de nova esteira, incidente operacional recorrente, falha de checklist, mudança relevante de capacidade, alteração de alçada ou substituição de ferramenta","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 02.00 Matriz de Papéis, Responsabilidades e Alçadas | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Princípios da biblioteca operacional | 4. Conceitos operacionais oficiais","618"
"03.04 Esteira de CRM, Captação, Tria.md","03","True","03.04 Esteira de CRM, Captação, Triagem e Onboarding","pavie-03-04-esteira-crm-captacao-triagem-onboarding","esteira_operacional_crm_captacao_triagem_onboarding","vigente","2026-03-07","Fabio Mathias Pavie","operacional_derivado","12 meses, com revisão extraordinária por mudança de portfólio, capacidade, critérios de aceitação, canal de entrada, incidente de conflito de interesses, falha de onboarding, incidente LGPD ou mudança de stack","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da esteira | 4. Princípios operacionais da entrada","728"
"03.05 Esteira de Produção Jurídica, .md","03","True","03.05 Esteira de Produção Jurídica, Prazos e Entregáveis","pavie-03-05-esteira-producao-juridica-prazos-entregaveis","esteira_operacional_producao_juridica_prazos_entregaveis","vigente","2026-03-07","Fabio Mathias Pavie","operacional_derivado","12 meses, com revisão extraordinária por mudança relevante de portfólio, alteração de prazos críticos, incidente de perda de prazo, falha de revisão, falha de protocolo, desconformidade documental, mudança de stack ou expansão relevante de capacidade","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da esteira | 4. Princípios operacionais da produção jurídica","671"
"03.06 Esteira Administrativo-Finance.md","03","True","03.06 Esteira Administrativo-Financeira e Cobrança","pavie-03-06-esteira-administrativo-financeira-cobranca","esteira_operacional_administrativo_financeira_cobranca","vigente","2026-03-07","Fabio Mathias Pavie","operacional_derivado","12 meses, com revisão extraordinária por mudança de forma de cobrança, alteração contratual relevante, incidente de inadimplência sistêmica, falha de conciliação, erro de cobrança, incidente LGPD, mudança de stack ou revisão da política financeira superior","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da esteira | 4. Princípios operacionais da administração financeira e cobrança","728"
"03.07 Esteira de Conhecimento, Model.md","03","True","03.07 Esteira de Conhecimento, Modelos e Reutilização","pavie-03-07-esteira-conhecimento-modelos-reutilizacao","esteira_operacional_conhecimento_modelos_reutilizacao","vigente","2026-03-07","Fabio Mathias Pavie","operacional_derivado","12 meses, com revisão extraordinária por mudança relevante de portfólio, alteração da taxonomia, criação de novas famílias documentais, incidente de reutilização indevida, falha de versionamento, expansão de automações ou revisão da arquitetura de conhecimento","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis | 03.06 Esteira Administrativo-Financeira e Cobrança","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da esteira | 4. Princípios operacionais do conhecimento e do reuso","694"
"03.08 Memória Operacional, Incidente.md","03","True","03.08 Memória Operacional, Incidentes e Melhoria Contínua","pavie-03-08-memoria-operacional-incidentes-melhoria-continua","esteira_operacional_memoria_incidentes_melhoria_continua","vigente","2026-03-07","Fabio Mathias Pavie","operacional_derivado","12 meses, com revisão extraordinária por incidente relevante, perda de prazo, falha de rastreabilidade, retrabalho material, incidente LGPD, falha de protocolo, inconsistência entre registros, mudança de taxonomia, mudança de stack ou revisão da política superior dos blocos 04 ou 10","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis | 03.06 Esteira Administrativo-Financeira e Cobrança | 03.07 Esteira de Conhecimento, Modelos e Reutilização","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da esteira | 4. Princípios operacionais da memória e da melhoria contínua","676"
"04.00 Política de Controle, Risco e .md","04","True","04.00 Política de Controle, Risco e Conformidade","pavie-04-00-politica-controle-risco-conformidade","politica_controle_risco_conformidade","vigente","2026-03-07","Fabio Mathias Pavie","politico_normativo_derivado","12 meses, com revisão extraordinária por incidente crítico, alteração regulatória relevante, falha material de controle, mudança de stack, crescimento relevante de capacidade, revisão do portfólio ou mudança estrutural do escritório","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis | 03.06 Esteira Administrativo-Financeira e Cobrança | 03.07 Esteira de Conhecimento, Modelos e Reutilização | 03.08 Memória Operacional, Incidentes e Melhoria Contínua","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da política | 4. Fundamentos superiores da política","656"
"04.01 Matriz de Riscos Institucionai.md","04","True","04.01 Matriz de Riscos Institucionais","pavie-04-01-matriz-riscos-institucionais","matriz_riscos_institucionais","vigente","2026-03-07","Fabio Mathias Pavie","politico_normativo_derivado","12 meses, com revisão extraordinária por incidente crítico, falha material de controle, mudança relevante de stack, expansão de portfólio, aumento sensível de capacidade, alteração do modelo operacional, criação de automação crítica, incidente LGPD ou mudança estrutural do escritório","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis | 03.06 Esteira Administrativo-Financeira e Cobrança | 03.07 Esteira de Conhecimento, Modelos e Reutilização | 03.08 Memória Operacional, Incidentes e Melhoria Contínua | 04.00 Política de Controle, Risco e Conformidade","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da matriz | 4. Fundamentos metodológicos","669"
"04.02 Política de LGPD, Segurança da.md","04","True","04.02 Política de LGPD, Segurança da Informação e Zero Trust","pavie-04-02-politica-lgpd-seguranca-informacao-zero-trust","politica_lgpd_seguranca_informacao_zero_trust","vigente","2026-03-07","Fabio Mathias Pavie","politico_normativo_derivado","12 meses, com revisão extraordinária por incidente de privacidade ou segurança, mudança relevante de stack, novo formulário ou integração crítica, expansão material de canais, incidente com terceiro, alteração relevante do regime documental ou revisão da política superior do bloco 04","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis | 03.06 Esteira Administrativo-Financeira e Cobrança | 03.07 Esteira de Conhecimento, Modelos e Reutilização | 03.08 Memória Operacional, Incidentes e Melhoria Contínua | 04.00 Política de Controle, Risco e Conformidade | 04.01 Matriz de Riscos Institucionais","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da política | 4. Fundamentos específicos","682"
"04.03 Política de IA, Automação e Su.md","04","True","04.03 Política de IA, Automação e Supervisão Algorítmica","pavie-04-03-politica-ia-automacao-supervisao-algoritmica","politica_ia_automacao_supervisao_algoritmica","vigente","2026-03-07","Fabio Mathias Pavie","politico_normativo_derivado","12 meses, com revisão extraordinária por incidente algorítmico relevante, mudança de stack, entrada de nova ferramenta de IA, expansão material de automações, alteração de fluxo sensível, incidente LGPD, alteração relevante do portfólio ou revisão da política superior do bloco 04","00.00 Carta Constitucional da PAVIE Advocacia — Constituição e Governo do Escritório | 01.00 Plano Diretor Estratégico e Operacional — versão constitucionalmente alinhada | 01.01 Plano Anual de Execução | 01.02 Plano Trimestral de Prioridades e Revisão | 01.03 Mapa de Portfólio e Priorização | 01.04 Orçamento, Metas e Capacidade | 01.05 Roadmap de Evolução Estrutural | 02.00 Matriz de Papéis, Responsabilidades e Alçadas — versão revista | 02.01 Política de Revisão Humana e Aprovação Final | 02.02 Política de Delegação e Supervisão | 02.03 Regimento de Decisões Estruturais | 02.04 Política de Terceiros, Parceiros e Correspondentes | 03.00 Arquitetura Operacional do Sistema PAVIE | 03.01 Manual de Taxonomia, IDs e YAML | 03.02 Mapa de Processos do Escritório | 03.03 Biblioteca de SOPs, Checklists e Modelos Operacionais | 03.04 Esteira de CRM, Captação, Triagem e Onboarding | 03.05 Esteira de Produção Jurídica, Prazos e Entregáveis | 03.06 Esteira Administrativo-Financeira e Cobrança | 03.07 Esteira de Conhecimento, Modelos e Reutilização | 03.08 Memória Operacional, Incidentes e Melhoria Contínua | 04.00 Política de Controle, Risco e Conformidade | 04.01 Matriz de Riscos Institucionais | 04.02 Política de LGPD, Segurança da Informação e Zero Trust","1. Preâmbulo | 2. Natureza, finalidade e subordinação | 3. Escopo da política | 4. Fundamentos específicos","665"
