documento,local,url,classificacao,estado_atual,recomendacao,risco,acao_futura,observacao
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/#servicos","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/blog/","URL historica /blog","presente no PDF atual","substituir por dominio correto do blog","medio","usar https://blog.pavieadvocacia.com.br/blog/ no PDF futuro","ocorrencias=2"
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/privacidade/privacidade.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=2"
"Politica de Privacidade","public/legal PDF URI","https://pavieadvocacia.com.br/termos/termos.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=3"
"Politica de Privacidade","public/legal PDF URI","mailto:contato@pavieadvocacia.com.br","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Politica de Privacidade","public/legal PDF texto","https://pavieadvocacia.com.br/privacidade/privacidade","URL tecnica interna","texto de rodape/cabecalho de impressao","remover do PDF publico","medio","evitar rodape automatico de navegador","ocorrencias=2"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=3"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/#contato","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/#honorarios","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/#servicos","dominio institucional legitimo","presente no PDF atual","preservar","baixo","validar no PDF futuro","ocorrencias=2"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/blog/","URL historica /blog","presente no PDF atual","substituir por dominio correto do blog","medio","usar https://blog.pavieadvocacia.com.br/blog/ no PDF futuro","ocorrencias=2"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/privacidade/privacidade.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=5"
"Termos de Servico","public/legal PDF URI","https://pavieadvocacia.com.br/termos/termos.html","URL historica .html","rota existe no repositorio raiz","preservar por continuidade juridica","medio","decisao humana antes de eventual migracao","ocorrencias=2"
"Termos de Servico","public/legal PDF texto","https://pavieadvocacia.com.br/termos/termos","URL tecnica interna","texto de rodape/cabecalho de impressao","remover do PDF publico","medio","evitar rodape automatico de navegador","ocorrencias=1"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/blog/","URL historica /blog","copia de build do PDF atual","nao editar dist; corrigir fonte futura","medio","regenerar dist via build apos substituir public/legal","ocorrencias=2"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/privacidade/privacidade.html","URL historica .html","copia de build do PDF atual","preservar por continuidade juridica","medio","validar apos build futuro","ocorrencias=2"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/termos/termos.html","URL historica .html","copia de build do PDF atual","preservar por continuidade juridica","medio","validar apos build futuro","ocorrencias=3"
"Politica de Privacidade","dist/legal PDF texto","https://pavieadvocacia.com.br/privacidade/privacidade","URL tecnica interna","copia de build do PDF atual","remover do PDF publico futuro","medio","evitar rodape automatico de navegador","ocorrencias=2"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/blog/","URL historica /blog","copia de build do PDF atual","nao editar dist; corrigir fonte futura","medio","regenerar dist via build apos substituir public/legal","ocorrencias=2"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/privacidade/privacidade.html","URL historica .html","copia de build do PDF atual","preservar por continuidade juridica","medio","validar apos build futuro","ocorrencias=5"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/termos/termos.html","URL historica .html","copia de build do PDF atual","preservar por continuidade juridica","medio","validar apos build futuro","ocorrencias=2"
"Termos de Servico","dist/legal PDF texto","https://pavieadvocacia.com.br/termos/termos","URL tecnica interna","copia de build do PDF atual","remover do PDF publico futuro","medio","evitar rodape automatico de navegador","ocorrencias=1"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=3"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/#contato","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/#honorarios","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
"Politica de Privacidade","dist/legal PDF URI","https://pavieadvocacia.com.br/#servicos","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
"Politica de Privacidade","dist/legal PDF URI","mailto:contato@pavieadvocacia.com.br","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=3"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/#contato","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/#honorarios","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
"Termos de Servico","dist/legal PDF URI","https://pavieadvocacia.com.br/#servicos","dominio institucional legitimo","copia de build do PDF atual","preservar","baixo","validar apos build futuro","ocorrencias=2"
